bank_uri	kmers_nb_distinct	kmers_nb_solid	kmers_nb_weak	kmers_percent_weak
hifi_subsampling1_reads_0.1	1896982001	95325003	1801656998	95.0
hifi_subsampling1_reads_0.2	3634631679	289165145	3345466534	92.0
hifi_subsampling1_reads_0.3	5258346457	532659527	4725686930	89.9
hifi_subsampling1_reads_0.4	6793117409	806051417	5987065992	88.1
hifi_subsampling1_reads_0.5	8259275760	1097950902	7161324858	86.7
hifi_subsampling1_reads_0.6	9661841418	1401480347	8260361071	85.5
hifi_subsampling1_reads_0.7	11016916926	1711880902	9305036024	84.5
hifi_subsampling1_reads_0.8	12326212689	2027729010	10298483679	83.5
hifi_subsampling1_reads_0.9	13598970439	2346661431	11252309008	82.7
hifi_subsampling1_reads_1	14830589292	2668169623	12162419669	82.0
hifi_subsampling2_reads_0.1	1896982001	95325003	1801656998	95.0
hifi_subsampling2_reads_0.2	3634631679	289165145	3345466534	92.0
hifi_subsampling2_reads_0.3	5258346457	532659527	4725686930	89.9
hifi_subsampling2_reads_0.4	6793117409	806051417	5987065992	88.1
hifi_subsampling2_reads_0.5	8259275760	1097950902	7161324858	86.7
hifi_subsampling2_reads_0.6	9661841418	1401480347	8260361071	85.5
hifi_subsampling2_reads_0.7	11016916926	1711880902	9305036024	84.5
hifi_subsampling2_reads_0.8	12326212689	2027729010	10298483679	83.5
hifi_subsampling2_reads_0.9	13598970439	2346661431	11252309008	82.7
hifi_subsampling2_reads_1	14830589292	2668169623	12162419669	82.0
hifi_subsampling3_reads_0.1	1898084427	95209843	1802874584	95.0
hifi_subsampling3_reads_0.2	3632692605	289474880	3343217725	92.0
hifi_subsampling3_reads_0.3	5254057600	532892984	4721164616	89.9
hifi_subsampling3_reads_0.4	6794192194	805547111	5988645083	88.1
hifi_subsampling3_reads_0.5	8257143141	1097251452	7159891689	86.7
hifi_subsampling3_reads_0.6	9662784553	1399688200	8263096353	85.5
hifi_subsampling3_reads_0.7	11015819448	1710967659	9304851789	84.5
hifi_subsampling3_reads_0.8	12324979930	2028925084	10296054846	83.5
hifi_subsampling3_reads_0.9	13596683317	2347563957	11249119360	82.7
hifi_subsampling3_reads_1	14830589292	2668169623	12162419669	82.0
illumina-pool_subsampling1_reads-R1_0.1	12532771673	1791445903	10741325770	85.7
illumina-pool_subsampling1_reads-R1_0.2	22317159299	4308771102	18008388197	80.7
illumina-pool_subsampling1_reads-R1_0.3	30766977621	6872933940	23894043681	77.7
illumina-pool_subsampling1_reads-R1_0.4	38351562121	9377791026	28973771095	75.5
illumina-pool_subsampling1_reads-R1_0.5	45314675936	11794101917	33520574019	74.0
illumina-pool_subsampling1_reads-R1_0.6	51799106920	14111368153	37687738767	72.8
illumina-pool_subsampling1_reads-R1_0.7	57903491067	16328284659	41575206408	71.8
illumina-pool_subsampling1_reads-R1_0.8	63697952038	18447215521	45250736517	71.0
illumina-pool_subsampling1_reads-R1_0.9	69232489146	20471365865	48761123281	70.4
illumina-pool_subsampling1_reads-R1_1	74546128319	22406534146	52139594173	69.9
illumina-pool_subsampling1_reads-R2_0.1	12532705434	1791578995	10741126439	85.7
illumina-pool_subsampling1_reads-R2_0.2	22316444434	4308606567	18007837867	80.7
illumina-pool_subsampling1_reads-R2_0.3	30765802280	6872065754	23893736526	77.7
illumina-pool_subsampling1_reads-R2_0.4	43499601454	8293830144	35205771310	80.9
illumina-pool_subsampling1_reads-R2_0.5	52046518970	10496247380	41550271590	79.8
illumina-pool_subsampling1_reads-R2_0.6	57942640855	12381224080	45561416775	78.6
illumina-pool_subsampling1_reads-R2_0.7	67911958440	14684890031	53227068409	78.4
illumina-pool_subsampling1_reads-R2_0.8	75380991385	16665998110	58714993275	77.9
illumina-pool_subsampling1_reads-R2_0.9	82605349157	18574306112	64031043045	77.5
illumina-pool_subsampling1_reads-R2_1	89621048219	20412137222	69208910997	77.2
illumina-pool_subsampling2_reads-R1_0.1	12533606823	1791630124	10741976699	85.7
illumina-pool_subsampling2_reads-R1_0.2	22317873844	4308503772	18009370072	80.7
illumina-pool_subsampling2_reads-R1_0.3	30767673148	6871926306	23895746842	77.7
illumina-pool_subsampling2_reads-R1_0.4	38352869908	9377900656	28974969252	75.5
illumina-pool_subsampling2_reads-R1_0.5	45315587906	11793799886	33521788020	74.0
illumina-pool_subsampling2_reads-R1_0.6	51800311307	14111706864	37688604443	72.8
illumina-pool_subsampling2_reads-R1_0.7	57905362978	16328449516	41576913462	71.8
illumina-pool_subsampling2_reads-R1_0.8	63699234735	18447198983	45252035752	71.0
illumina-pool_subsampling2_reads-R1_0.9	69232545114	20471711182	48760833932	70.4
illumina-pool_subsampling2_reads-R1_1	74546128319	22406534146	52139594173	69.9
illumina-pool_subsampling2_reads-R2_0.1	13436911903	1531487402	11905424501	88.6
illumina-pool_subsampling2_reads-R2_0.2	24503895094	3743152535	20760742559	84.7
illumina-pool_subsampling2_reads-R2_0.3	34390190431	6031142113	28359048318	82.5
illumina-pool_subsampling2_reads-R2_0.4	43500589621	8293285361	35207304260	80.9
illumina-pool_subsampling2_reads-R2_0.5	52046771355	10495926654	41550844701	79.8
illumina-pool_subsampling2_reads-R2_0.6	60155817956	12627976667	47527841289	79.0
illumina-pool_subsampling2_reads-R2_0.7	67913431597	14684472227	53228959370	78.4
illumina-pool_subsampling2_reads-R2_0.8	75381560964	16666084746	58715476218	77.9
illumina-pool_subsampling2_reads-R2_0.9	82605385130	18574253323	64031131807	77.5
illumina-pool_subsampling2_reads-R2_1	89621048219	20412137222	69208910997	77.2
illumina-pool_subsampling3_reads-R1_0.1	12533338891	1791298716	10742040175	85.7
illumina-pool_subsampling3_reads-R1_0.2	22317409291	4308518592	18008890699	80.7
illumina-pool_subsampling3_reads-R1_0.3	30765970917	6871774553	23894196364	77.7
illumina-pool_subsampling3_reads-R1_0.4	38351890679	9377641503	28974249176	75.5
illumina-pool_subsampling3_reads-R1_0.5	45314145432	11793854930	33520290502	74.0
illumina-pool_subsampling3_reads-R1_0.6	51799345642	14111705078	37687640564	72.8
illumina-pool_subsampling3_reads-R1_0.7	57905270803	16328523731	41576747072	71.8
illumina-pool_subsampling3_reads-R1_0.8	63698810326	18447004451	45251805875	71.0
illumina-pool_subsampling3_reads-R1_0.9	69232474681	20471178597	48761296084	70.4
illumina-pool_subsampling3_reads-R1_1	74546128319	22406534146	52139594173	69.9
illumina-pool_subsampling3_reads-R2_0.1	13436563467	1531246338	11905317129	88.6
illumina-pool_subsampling3_reads-R2_0.2	24504015096	3742865245	20761149851	84.7
illumina-pool_subsampling3_reads-R2_0.3	34389495719	6031033744	28358461975	82.5
illumina-pool_subsampling3_reads-R2_0.4	43501151816	8293212041	35207939775	80.9
illumina-pool_subsampling3_reads-R2_0.5	52046335406	10496419151	41549916255	79.8
illumina-pool_subsampling3_reads-R2_0.6	60154695763	12628565999	47526129764	79.0
illumina-pool_subsampling3_reads-R2_0.7	67912672935	14685152307	53227520628	78.4
illumina-pool_subsampling3_reads-R2_0.8	75381020003	16666659100	58714360903	77.9
illumina-pool_subsampling3_reads-R2_0.9	82605415983	18574421733	64030994250	77.5
illumina-pool_subsampling3_reads-R2_1	89621048219	20412137222	69208910997	77.2
illumina-Run1_subsampling1_reads-R1_0.1	4865796416	364383326	4501413090	92.5
illumina-Run1_subsampling1_reads-R1_0.2	9130067023	1011067654	8118999369	88.9
illumina-Run1_subsampling1_reads-R1_0.3	13032682314	1749493713	11283188601	86.6
illumina-Run1_subsampling1_reads-R1_0.4	16678215695	2525736142	14152479553	84.9
illumina-Run1_subsampling1_reads-R1_0.5	20125470169	3317728859	16807741310	83.5
illumina-Run1_subsampling1_reads-R1_0.6	23412445808	4114413953	19298031855	82.4
illumina-Run1_subsampling1_reads-R1_0.7	26566325155	4910468623	21655856532	81.5
illumina-Run1_subsampling1_reads-R1_0.8	29606126059	5703138945	23902987114	80.7
illumina-Run1_subsampling1_reads-R1_0.9	32546453882	6490255340	26056198542	80.1
illumina-Run1_subsampling1_reads-R1_1	35399938108	7271344301	28128593807	79.5
illumina-Run1_subsampling1_reads-R2_0.1	5207380158	381803836	4825576322	92.7
illumina-Run1_subsampling1_reads-R2_0.2	9788556352	1047480359	8741075993	89.3
illumina-Run1_subsampling1_reads-R2_0.3	13997881095	1806190130	12191690965	87.1
illumina-Run1_subsampling1_reads-R2_0.4	17942943588	2603864650	15339078938	85.5
illumina-Run1_subsampling1_reads-R2_0.5	21684161755	3418353699	18265808056	84.2
illumina-Run1_subsampling1_reads-R2_0.6	25260580357	4238601336	21021979021	83.2
illumina-Run1_subsampling1_reads-R2_0.7	28699818214	5059262788	23640555426	82.4
illumina-Run1_subsampling1_reads-R2_0.8	32021447469	5877541573	26143905896	81.6
illumina-Run1_subsampling1_reads-R2_0.9	35240461431	6691232693	28549228738	81.0
illumina-Run1_subsampling1_reads-R2_1	38369463565	7499845727	30869617838	80.5
illumina-Run1_subsampling2_reads-R1_0.1	4866152678	364294186	4501858492	92.5
illumina-Run1_subsampling2_reads-R1_0.2	9130996736	1010787700	8120209036	88.9
illumina-Run1_subsampling2_reads-R1_0.3	13034289817	1749373596	11284916221	86.6
illumina-Run1_subsampling2_reads-R1_0.4	16679114759	2525879185	14153235574	84.9
illumina-Run1_subsampling2_reads-R1_0.5	20125976637	3317750028	16808226609	83.5
illumina-Run1_subsampling2_reads-R1_0.6	23413166732	4114283870	19298882862	82.4
illumina-Run1_subsampling2_reads-R1_0.7	26567107954	4910149391	21656958563	81.5
illumina-Run1_subsampling2_reads-R1_0.8	29606426359	5702776084	23903650275	80.7
illumina-Run1_subsampling2_reads-R1_0.9	32546398297	6490380953	26056017344	80.1
illumina-Run1_subsampling2_reads-R1_1	35399938108	7271344301	28128593807	79.5
illumina-Run1_subsampling2_reads-R2_0.1	5207775386	381718581	4826056805	92.7
illumina-Run1_subsampling2_reads-R2_0.2	9789446716	1047194587	8742252129	89.3
illumina-Run1_subsampling2_reads-R2_0.3	13999426547	1806041207	12193385340	87.1
illumina-Run1_subsampling2_reads-R2_0.4	17943880893	2603969566	15339911327	85.5
illumina-Run1_subsampling2_reads-R2_0.5	21684600938	3418364671	18266236267	84.2
illumina-Run1_subsampling2_reads-R2_0.6	25261267890	4238478568	21022789322	83.2
illumina-Run1_subsampling2_reads-R2_0.7	28700546537	5058967037	23641579500	82.4
illumina-Run1_subsampling2_reads-R2_0.8	32021681068	5877206575	26144474493	81.6
illumina-Run1_subsampling2_reads-R2_0.9	35240272069	6691380756	28548891313	81.0
illumina-Run1_subsampling2_reads-R2_1	38369463565	7499845727	30869617838	80.5
illumina-Run1_subsampling3_reads-R1_0.1	4866552090	364269446	4502282644	92.5
illumina-Run1_subsampling3_reads-R1_0.2	9130666014	1011092058	8119573956	88.9
illumina-Run1_subsampling3_reads-R1_0.3	13033347450	1749565172	11283782278	86.6
illumina-Run1_subsampling3_reads-R1_0.4	16678469624	2526097607	14152372017	84.9
illumina-Run1_subsampling3_reads-R1_0.5	20125871852	3317791971	16808079881	83.5
illumina-Run1_subsampling3_reads-R1_0.6	23412358516	4114288181	19298070335	82.4
illumina-Run1_subsampling3_reads-R1_0.7	26566377354	4910320457	21656056897	81.5
illumina-Run1_subsampling3_reads-R1_0.8	29605640652	5703176383	23902464269	80.7
illumina-Run1_subsampling3_reads-R1_0.9	32546591324	6490196646	26056394678	80.1
illumina-Run1_subsampling3_reads-R1_1	35399938108	7271344301	28128593807	79.5
illumina-Run1_subsampling3_reads-R2_0.1	5208070720	381696845	4826373875	92.7
illumina-Run1_subsampling3_reads-R2_0.2	9789112773	1047502406	8741610367	89.3
illumina-Run1_subsampling3_reads-R2_0.3	13998475881	1806235160	12192240721	87.1
illumina-Run1_subsampling3_reads-R2_0.4	17943256139	2604199256	15339056883	85.5
illumina-Run1_subsampling3_reads-R2_0.5	21684703031	3418395284	18266307747	84.2
illumina-Run1_subsampling3_reads-R2_0.6	25260676910	4238484358	21022192552	83.2
illumina-Run1_subsampling3_reads-R2_0.7	28700058772	5059133227	23640925545	82.4
illumina-Run1_subsampling3_reads-R2_0.8	32021105669	5877603505	26143502164	81.6
illumina-Run1_subsampling3_reads-R2_0.9	35240639635	6691201464	28549438171	81.0
illumina-Run1_subsampling3_reads-R2_1	38369463565	7499845727	30869617838	80.5
