sample	stat	min	max 	median	mean	reference
run1	numreads	0	388888	175	225	reads
run1	covbases	0	25237	4329	4612	reads
run1	coverage	0	100	73	66	reads
run1	meandepth	0	3076	3	4	reads
run1	meanbaseq	0	34	33	32	reads
run1	meanmapq	0	60	26	25	reads
run2	numreads	0	398453	435	538	reads
run2	covbases	0	27774	5181	5479	reads
run2	coverage	0	100	87	79	reads
run2	meandepth	0	5358	6	7	reads
run2	meanbaseq	0	34	33	32	reads
run2	meanmapq	0	60	26	24	reads
pool	numreads	0	398453	435	538	reads
pool	covbases	0	27774	5181	5479	reads
pool	coverage	0	100	87	79	reads
pool	meandepth	0	5358	6	7	reads
pool	meanbaseq	0	34	33	32	reads
pool	meanmapq	0	60	26	24	reads
run1	numreads	0	773945	4792	6556	assembly-hifiams3
run1	covbases	0	1486288	23177	26946	assembly-hifiams3
run1	coverage	0	100	99	97	assembly-hifiams3
run1	meandepth	0	1800	21	24	assembly-hifiams3
run1	meanbaseq	0	34	33	33	assembly-hifiams3
run1	meanmapq	0	60	40	38	assembly-hifiams3
run2	numreads	448	9781292	20642	25626	assembly-hifiams3
run2	covbases	2750	1486341	23895	27658	assembly-hifiams3
run2	coverage	36	100	100	100	assembly-hifiams3
run2	meandepth	2	6323	48	54	assembly-hifiams3
run2	meanbaseq	23	33	33	33	assembly-hifiams3
run2	meanmapq	0	59	27	27	assembly-hifiams3
pool	numreads	616	10555070	25456	32182	assembly-hifiams3
pool	covbases	2852	1486379	23932	27696	assembly-hifiams3
pool	coverage	37	100	100	100	assembly-hifiams3
pool	meandepth	2	6598	69	78	assembly-hifiams3
pool	meanbaseq	23	33	33	33	assembly-hifiams3
pool	meanmapq	0	59	29	29	assembly-hifiams3
